rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
2,Ezzahra Mardoume & Nico Küttner,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,2
3,Christian Nolde & Steffi Schmitt,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,3
4,Maximilian Brandl & Franziska Koch,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,4
5,Timm Witzke & Kimberly Günzel,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,5
6,Sina Bertelsbeck & Philip Heitmann,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,6
7,Madita Carstensen & Tom Harring,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,7
8,Sindy Haake & Jan Spreitzenbarth,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,8
9,Saskia Noack & Marc Ewers,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,9
10,Maria De Sancho & Stewart Patience,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,10
11,Giannina Pomilio & Angelo E,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,11
12,Luis Camilo Cardenas Dovale & Abigail Perez Ortiz,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX,Endurance,,,,,,,,,12
